iter	Passed	Remaining
0	8	7144
1	15	6393
2	22	6167
3	28	6019
4	36	6155
5	44	6177
6	50	6041
7	59	6212
8	66	6179
9	75	6255
10	82	6219
11	90	6252
12	97	6246
13	104	6211
14	112	6210
15	119	6190
16	127	6183
17	133	6117
18	140	6079
19	147	6061
20	154	6071
21	162	6077
22	170	6073
23	177	6075
24	185	6074
25	192	6071
26	199	6041
27	207	6040
28	213	6013
29	221	6006
30	227	5978
31	236	5989
32	243	5978
33	251	5982
34	258	5968
35	265	5965
36	273	5956
37	280	5948
38	287	5935
39	295	5931
40	302	5926
41	308	5897
42	316	5887
43	323	5879
44	330	5875
45	337	5861
46	345	5854
47	351	5834
48	358	5824
49	366	5812
50	372	5798
51	379	5786
52	387	5778
53	394	5766
54	401	5754
55	408	5743
56	415	5736
57	422	5725
58	429	5710
59	436	5706
60	443	5697
61	451	5689
62	458	5678
63	465	5673
64	472	5658
65	479	5652
66	486	5636
67	493	5627
68	500	5619
69	506	5604
70	514	5596
71	521	5592
72	528	5583
73	535	5574
74	542	5558
75	549	5550
76	556	5543
77	564	5541
78	571	5534
79	579	5530
80	585	5515
81	592	5507
82	599	5494
83	606	5484
84	613	5479
85	621	5474
86	628	5467
87	635	5457
88	641	5446
89	649	5437
90	655	5426
91	663	5421
92	669	5410
93	676	5399
94	683	5386
95	690	5378
96	697	5374
97	705	5368
98	713	5366
99	720	5359
100	727	5351
101	735	5347
102	742	5338
103	748	5328
104	755	5320
105	762	5311
106	769	5301
107	777	5297
108	784	5292
109	791	5282
110	798	5274
111	806	5269
112	813	5259
113	818	5244
114	827	5242
115	833	5231
116	840	5223
117	847	5213
118	854	5208
119	862	5205
120	870	5198
121	876	5189
122	884	5183
123	891	5176
124	898	5165
125	904	5154
126	911	5146
127	918	5139
128	926	5133
129	934	5132
130	941	5125
131	949	5120
132	956	5113
133	963	5106
134	971	5100
135	978	5096
136	985	5088
137	993	5080
138	1000	5075
139	1008	5071
140	1015	5065
141	1023	5057
142	1030	5051
143	1037	5043
144	1044	5036
145	1052	5029
146	1058	5019
147	1065	5010
148	1072	5003
149	1080	4997
150	1087	4991
151	1094	4980
152	1101	4973
153	1108	4966
154	1114	4955
155	1122	4949
156	1129	4942
157	1136	4934
158	1143	4927
159	1150	4919
160	1157	4910
161	1164	4901
162	1170	4891
163	1178	4886
164	1185	4878
165	1192	4869
166	1199	4863
167	1207	4857
168	1214	4850
169	1221	4842
170	1228	4834
171	1235	4826
172	1242	4819
173	1250	4813
174	1257	4805
175	1263	4797
176	1271	4789
177	1278	4783
178	1285	4776
179	1292	4769
180	1299	4760
181	1306	4753
182	1313	4745
183	1320	4736
184	1328	4730
185	1335	4725
186	1341	4714
187	1348	4707
188	1356	4701
189	1363	4694
190	1371	4687
191	1378	4680
192	1385	4673
