iter	MultiClass
0	1.067402286
1	1.042515337
2	1.013054259
3	0.9901235482
4	0.9711870366
5	0.9556705056
6	0.9363128916
7	0.9196560711
8	0.9009349786
9	0.8836567976
10	0.8703075817
11	0.8590868244
12	0.8446115415
13	0.8322757654
14	0.8223778317
15	0.8114901432
16	0.8023432956
17	0.7946531421
18	0.7890238385
19	0.7786594216
20	0.7704407922
21	0.7618202571
22	0.7586592679
23	0.753322694
24	0.7483319203
25	0.7428245099
26	0.7360063769
27	0.729809373
28	0.7264351271
29	0.7214637674
30	0.7171603033
31	0.7111665976
32	0.7069205741
33	0.7035817445
34	0.6992488767
35	0.6943635687
36	0.6909764234
37	0.6857154361
38	0.6786710023
39	0.6750038642
40	0.6705872102
41	0.6664464237
42	0.6647131203
43	0.6622467025
44	0.65605175
45	0.6522853215
46	0.6497760726
47	0.6458359546
48	0.6413611757
49	0.6358176435
50	0.6326895288
51	0.6288568791
52	0.626189553
53	0.621247572
54	0.6180611417
55	0.6142273299
56	0.6106683973
57	0.6074997363
58	0.6037229464
59	0.6002215914
60	0.5974129187
61	0.5933746162
62	0.5905238946
63	0.5873476261
64	0.5843886244
65	0.5813717041
66	0.5780050888
67	0.5757279783
68	0.5729741701
69	0.5707759506
70	0.5682631394
71	0.5661598914
72	0.5625059487
73	0.5606749858
74	0.5583072529
75	0.5552999814
76	0.5524159242
77	0.5488919272
78	0.5462769416
79	0.5433754305
80	0.54148981	0.81	0.5380802137
82	0.5353481414
83	0.5322484	0.584	0.5296985	0.585	0.5263686	0.586	0.5235387	0.587	0.5225588	0.588	0.5194089	0.5183077139
90	0.515336707
91	0.5126036692
92	0.5085008606
93	0.5056550446
94	0.5032766856
95	0.5008544806
96	0.4982305153
97	0.4938020337
98	0.498	0.4879099	0.499	0.48519100	0.100	0.4827101	0.4101	0.4804120411
102	0.4783524589
103	0.4759354522
104	0.4715271274
105	0.469731902
106	0.4674802898
107	0.465011732
108	0.4622977941
109	0.460192729
110	0.4582783934
111	0.4559803621
112	0.4527961492
113	0.4114	0.4566114	0.4479480226
115	0.4505440373
116	0.4478282295
117	0.4456463834
118	0.4433265137
119	0.4413893095
120	0.4397501298
121	0.4377425819
122	0.4341912722
123	0.4314916293
124	0.4284614094
125	0.4247247763
126	0.4228872032
127	0.421409771
128	0.4193126537
129	0.4164003138
130	0.4127978333
131	0.4102800407
132	0.4075204843
133	0.4055739792
134	0.4026091019
135	0.4002447845
136	0.3972947523
137	0.3955902571
138	0.3933675086
139	0.3905445738
140	0.3887151151
141	0.3868914367
142	0.3846595514
143	0.3823557521
144	0.380069949
145	0.3781147471
146	0.3761572988
147	0.373667362
148	0.3708529412
149	0.3681836949
150	0.3664545853
151	0.3647796789
152	0.3620190625
153	0.3597765263
154	0.3586171817
155	0.3564781388
156	0.3545820495
157	0.3527455954
158	0.3514798084
159	0.3507515314
160	0.3491481506
161	0.3479988908
1162	0.34046514481163	0.33880278441164	0.33707883391165	0.33612072761166	0.33472607071167	0.33260411231168	0.33107068231169	0.32931090651170	0.32726931021171	0.32594291741172	0.32491034491173	0.32351885921174	0.32222220351175	0.32066456411176	0.31950709691177	0.31785484231178	0.31574094117179	0.31361566218180	0.31161937518181	0.31000529118182	0.30864140118183	0.307319792184	0.3088815735
185	0.3080040427
18186	0.30321215918187	0.30169390018188	0.30037954118189	0.29976890819190	0.29879171619191	0.296899152192	0.2956908716
193	0.2947840649
194	0.2938681384
195	0.2919154056
196	0.2908211416
197	0.2895296336
1198	0.28782227721199	0.28706842452200	0.28596309192201	0.284564357
202	0.2831125423
203	0.2823999511
204	0.2811215861
205	0.2799710153
206	0.2792663859
207	0.2780732043
208	0.2764571415
209	0.275991257
210	0.2741764873
211	0.2726933701
212	0.2707550127
213	0.2693311699
214	0.2685432751
215	0.2674780545
216	0.266210985
217	0.2646626782
218	0.2635648223
219	0.2620318993
220	0.2611407437
221	0.2598456638
222	0.2590708154
223	0.2582141574
224	0.2576107944
225	0.2566616646
226	0.2547928555
227	0.253588896
228	0.252668314
229	0.2509579907
230	0.2505227512
231	0.2497830391
232	0.2491210848
233	0.2482205897
234	0.2468063919
235	0.2458383257
236	0.2449069131
237	0.2442021275
238	0.2431113914
239	0.2424729278
240	0.2416601477
241	0.2411386409
242	0.2404905832
243	0.2389620175
244	0.2385241401
245	0.2372839606
246	0.2356841512
247	0.2349265697
248	0.2345538179
249	0.2332499987
250	0.2325102143
251	0.2316778888
252	0.230743971
253	0.2295310566
254	0.2285083438
255	0.2275590514
256	0.2266393793
257	0.2255641054
258	0.2247574993
259	0.2237452444
260	0.222507188
261	0.2212184094
262	0.2208483649
263	0.2203972232
264	0.2195214536
265	0.2184793344
266	0.217117139
267	0.2158885093
268	0.2151591063
269	0.2144406603
270	0.2139829199
271	0.2129617774
272	0.212070632
273	0.2108187893
274	0.2103301343
275	0.2094258395
276	0.2082209423
277	0.2074229944
278	0.206572091
279	0.2060134567
280	0.2051278932
281	0.204622402
282	0.2037714738
283	0.2030170182
284	0.2024584997
285	0.2021227559
286	0.2012244835
287	0.200632208
288	0.2000124128
289	0.199870509
290	0.1988986866
291	0.198155427
292	0.1974736982
293	0.1971189196
294	0.1962189915
295	0.1955886972
296	0.1948699057
297	0.1940302629
298	0.1935252113
299	0.1927385162
300	0.1921502829
301	0.1917195037
302	0.1912594471
303	0.1906370535
304	0.1903340991
305	0.1897492245
306	0.1894093905
307	0.1885871944
308	0.1881253324
309	0.1876946237
310	0.1867976846
311	0.1863689219
312	0.1859520174
313	0.185511565
314	0.1847553719
315	0.1841887972
316	0.183586024
317	0.1828655474
318	0.1826205733
319	0.1819731991
320	0.1813798675
321	0.1806299549
322	0.1801680187
323	0.1794604032
324	0.1790484799
325	0.1782258228
326	0.1779083478
327	0.1772683144
328	0.1767459987
329	0.1760941459
330	0.1756037862
331	0.1752742896
332	0.1748225787
333	0.1739920616
334	0.1736062974
335	0.1730157131
336	0.1724807231
337	0.1716752505
338	0.171214792
339	0.1709111386
340	0.1700193813
341	0.1696425091
342	0.1691209368
343	0.1687714855
344	0.168117981
345	0.1679113432
346	0.1671916142
347	0.166353701
348	0.165454227
349	0.165159306
350	0.1648905498
351	0.1643301967
352	0.1637746351
353	0.1631745189
354	0.1625246197
355	0.1621432263
356	0.1613475458
357	0.1608197927
358	0.1603723763
359	0.1599115181
360	0.1594569123
361	0.1590997207
362	0.1589809258
363	0.1585358343
364	0.1579938061
365	0.157515762
366	0.1571490769
367	0.156854055
368	0.1561147285
369	0.1553160812
370	0.1551659053
371	0.1549827639
372	0.1541820148
373	0.153798175
374	0.1533052076
375	0.1528037159
376	0.1526053342
377	0.152266402
378	0.1517347663
379	0.1514013307
380	0.1507960056
381	0.1502911055
382	0.1499249321
383	0.1496294018
384	0.1491657563
385	0.1485825404
386	0.1478446683
387	0.1474658964
388	0.1472999364
389	0.147087966
390	0.1466456944
391	0.1462467008
392	0.1458502544
393	0.1451878672
394	0.1446810702
395	0.1441848636
396	0.1437820363
397	0.1436097771
398	0.1430136367
399	0.1424608919
400	0.1419779056
401	0.1414875147
402	0.1412152286
403	0.1407746333
404	0.1405807113
405	0.1401491257
406	0.1395817769
407	0.13933222
408	0.1388220359
409	0.1385841905
410	0.1380967848
411	0.1375443474
412	0.1371350301
413	0.1369096167
414	0.136807319
415	0.1363906939
416	0.1361464927
417	0.1358982375
418	0.1356123414
419	0.1351467459
420	0.1348914859
421	0.1345172877
422	0.1343403354
423	0.1340568953
424	0.1338883868
425	0.133350964
426	0.132956959
427	0.1327244991
428	0.1323168846
429	0.1320516257
430	0.13188291
431	0.131404919
432	0.1310612274
433	0.1306363532
434	0.1304797488
435	0.1303585351
436	0.1301756146
437	0.1297515473
438	0.1295814378
439	0.1291455642
440	0.128813418
441	0.1284901737
442	0.1282000742
443	0.1281479336
444	0.1278239704
445	0.1275940584
446	0.1273192086
447	0.1269348496
448	0.1265900326
449	0.1263769161
450	0.1260016043
451	0.1256027341
452	0.1254175708
453	0.1252230489
454	0.1249014197
455	0.124452182
456	0.1242103728
457	0.1238218026
458	0.123363638
459	0.1228018713
460	0.1224002644
461	0.1220011983
462	0.1217641695
463	0.121607361
464	0.1213234194
465	0.121043434
466	0.1208011307
467	0.12041489
468	0.1200901894
469	0.1197794761
470	0.1196634186
471	0.1194156848
472	0.1192830479
473	0.1191586512
474	0.118796341
475	0.1186605539
476	0.1184054511
477	0.1182713863
478	0.1179096925
479	0.1176575766
480	0.1173209708
481	0.1170062244
482	0.116711456
483	0.1163228616
484	0.1160013856
485	0.1155566693
486	0.1153001748
487	0.115159561
488	0.1148406385
489	0.1147573551
490	0.1144388267
491	0.1141178231
492	0.1139787055
493	0.113595696
494	0.113436244
495	0.1132582872
496	0.113036587
497	0.1126690918
498	0.11228165
499	0.1120661997
500	0.1119150724
501	0.1116889208
502	0.1114673667
503	0.1114080534
504	0.1112975629
505	0.1109283815
506	0.1106064612
507	0.110420431
508	0.110136827
509	0.1097923549
510	0.1094320692
511	0.1091970608
512	0.1090597042
513	0.1089356484
514	0.1086825922
515	0.1084979211
516	0.1081116869
517	0.1077365776
518	0.1075719529
519	0.1071907181
520	0.1069455951
521	0.1067530904
522	0.1064694647
523	0.1062917183
524	0.1061093735
525	0.1057923613
526	0.1055615879
527	0.1052596607
528	0.1051330551
529	0.105010701
530	0.1049459616
531	0.1046265583
532	0.1044237099
533	0.1041376909
534	0.1038749164
535	0.1036759819
536	0.1035138804
537	0.1034014483
538	0.1030602346
539	0.1027962427
540	0.1026073212
541	0.1024884462
542	0.1023252627
543	0.1022134514
544	0.1020504528
545	0.1018375524
546	0.1017337272
547	0.1016542173
548	0.1015225003
549	0.101309799
550	0.1010357173
551	0.1007565893
552	0.1005553538
553	0.1004032816
554	0.1001939362
555	0.1000486948
556	0.09984627946
557	0.09933341204
558	0.09924587608
559	0.0989113299
560	0.09882540875
561	0.09866744397
562	0.09858435017
563	0.09822188832
564	0.09805058158
565	0.09793548011
566	0.09779789818
567	0.09760346205
568	0.09739656805
569	0.09705377779
570	0.09675062973
571	0.09653201909
572	0.09644108986
573	0.09638552119
574	0.09620395582
575	0.09601156988
576	0.09589553287
577	0.09557022885
578	0.09541294425
579	0.09513921875
580	0.09480878119
581	0.09459776368
582	0.09444985905
583	0.09414488853
584	0.09396028828
585	0.09372098596
586	0.09361752492
587	0.09340924581
588	0.09317688109
589	0.0929538054
590	0.09290008519
591	0.0928579209
592	0.09274413708
593	0.09262619315
594	0.09237373881
595	0.09226742341
596	0.09198137659
597	0.09192949668
598	0.09177812761
599	0.09164808072
600	0.09148889616
601	0.09129809128
602	0.09117542173
603	0.09095025378
604	0.09088072087
605	0.0907414333
606	0.09057650252
607	0.09029202629
608	0.09007105463
609	0.08998925666
610	0.08972387314
611	0.08941005141
612	0.08930248942
613	0.08917999355
614	0.0890971451
615	0.08884064221
616	0.08857623776
617	0.08847875509
618	0.08823075881
619	0.08805616401
620	0.0879008259
621	0.08783243817
622	0.08766032459
623	0.08756367301
624	0.08729866858
625	0.08718533688
626	0.08702660387
627	0.08685757247
628	0.08672156283
629	0.08659080715
630	0.08645196091
631	0.08628670574
632	0.086190996
633	0.08595455425
634	0.08587972942
635	0.08575395302
636	0.08567217344
637	0.08545011118
638	0.08538603367
639	0.08516911514
640	0.08494828467
641	0.08485681031
642	0.08471416297
643	0.0844944559
644	0.08432510733
645	0.08412894914
646	0.08392246787
647	0.08382594059
648	0.08364401987
649	0.08357967198
650	0.08334879569
651	0.08317962227
652	0.08308161156
653	0.08279595445
654	0.08261985524
655	0.0824338546
656	0.08219828274
657	0.08205612205
658	0.08186620481
659	0.08171635546
660	0.0816205454
661	0.08132274245
662	0.081223466
663	0.0810426993
664	0.08092597218
665	0.08083763139
666	0.08063842396
667	0.08049511254
668	0.08041311171
669	0.0802281195
670	0.08013558627
671	0.08006804026
672	0.07991587072
673	0.07973787846
674	0.07965892462
675	0.07956945254
676	0.07940220377
677	0.07922984513
678	0.07911656745
679	0.07903626287
680	0.07887773352
681	0.07872189399
682	0.07855296328
683	0.07841186262
684	0.07831551506
685	0.07821868298
686	0.07810666836
687	0.07792585053
688	0.07771200042
689	0.07754504752
