iter	Passed	Remaining
0	9731	9722197
1	17872	8918528
2	25222	8382221
3	32420	8072608
4	39200	7800995
5	46117	7640192
6	53096	7532152
7	60065	7448181
8	66958	7372899
9	73960	7322121
10	80826	7267051
11	87840	7232180
12	94798	7197372
13	101603	7155770
14	108708	7138555
15	115945	7130643
16	122981	7111251
17	130044	7094625
18	137153	7081461
19	144146	7063202
20	151115	7044845
21	158526	7047202
22	165772	7041718
23	172866	7029920
24	179832	7013471
25	186995	7005149
26	194201	6998460
27	201197	6984410
28	208491	6980877
29	215719	6974938
30	219298	6854852
31	220235	6662120
32	221266	6483776
33	222294	6315773
34	223502	6162283
35	224727	6017700
36	225898	5879476
37	227226	5752412
38	228627	5633608
39	230055	5521342
40	231385	5412174
41	232920	5312802
42	236824	5270711
43	243487	5290323
44	249881	5303045
45	255362	5295998
46	258473	5240965
47	261234	5181150
48	263171	5107684
49	264337	5022421
50	265908	4947977
51	266926	4866272
52	267410	4778076
53	267893	4693097
54	268295	4609810
55	268697	4529477
56	269100	4451953
57	270925	4400197
58	276332	4407264
59	281609	4411876
60	286797	4414794
61	291853	4415459
62	296817	4414575
63	301685	4412148
64	306164	4404064
65	311145	4403174
66	315939	4399580
67	320854	4397596
68	322590	4352637
69	323714	4300772
70	324470	4245535
71	325491	4195223
72	326239	4142795
73	326874	4090346
74	327428	4038290
75	328195	3990167
76	328763	3940896
77	329204	3891361
78	329634	3842948
79	330094	3796086
80	330583	3750681	81	331477	3710936
82	332126	3669396
83	332579	3626684	84	333000	3584685	85	333448	3543886	86	333970	3504787	87	334559	3467288	88	335192	3431089	336710	3404522
90	337537	3371662
91	338442	3340285
92	339182	3307943
93	339908	3276137
94	340679	3245417
95	344118	3240448
96	348285	3242289
97	349815	3219731
98	98	350325	3188399	99	351491	31634100100	352495	31375101101	353580	3112893
102	354540	3087603
103	355213	3060298
104	356174	3035966
105	356986	3010813
106	357951	2987389
107	358703	2962622
108	359535	2938958
109	360345	2915110	110	361263	2893111	111	361867	2869112	112	362437	2844113	363635	2826148
114	114	364142	2802115	365383	2784471
116	366505	2766018
117	367500	2746913
118	368261	2726369
119	368980	2705853
120	369927	2687327
121	370949	2669617
122	371869	2651460
123	372576	2632074
124	373160	2612121
125	373847	2593199
126	374605	2575041
127	375440	2557691
128	376286	2540661
129	377145	2523971
130	377958	2507221
131	378780	2490765
132	379577	2474390
133	380266	2457545
134	381154	2442211
135	381975	2426665
136	382798	2411348
137	383741	2396995
138	384660	2382682
139	385542	2368330
140	386436	2354247
141	387391	2340714
142	388271	2326914
143	389175	2313433
144	390091	2300197
145	390897	2286480
146	391733	2273119
147	392504	2259555
148	393305	2246329
149	394069	2233062
150	394923	2220462
151	395792	2208107
152	396612	2195623
153	397491	2183621
154	398308	2171426
155	399119	2159338
156	399893	2147199
157	400710	2135432
158	401559	2123969
159	402261	2111871
160	403008	2100152
161	403851	2089060
162	162	404274	2075163	163	405161	2065164	164	406027	2054165	165	406944	2044166	166	407869	2034167	167	408701	2024168	168	409652	2014169	169	410692	2005170	170	411660	1995171	171	412622	1986172	172	413560	1976173	173	414363	1967174	174	415220	1957175	175	416031	1947176	176	416871	1938177	177	417617	1928178	178	418450	1919179	179	419230	1909180	180	420009	1900181	181	420766	1891182	182	421501	1881183	183	422222	1872184	423446	1865452
185	424216	1856515
186	186	428513	1863187	187	430874	1861188	188	433173	1858189	189	435316	1855190	190	436614	1849191	191	437962	1843192	439700	1838542
193	441448	1834059
194	444833	1836362
195	448413	1839411
196	451795	1841582
197	455346	1844381
198	198	458986	1847199	199	463621	1854200	200	467904	1859201	201	472370	1866202	202	476796	1871954
203	481121	1877316
204	485533	1882923
205	490122	1889111
206	494608	1894803
207	498780	1899203
208	502567	1902061
209	507030	1907401
210	511549	1912857
211	516759	1920785
212	521836	1928100
213	527072	1935881
214	532179	1943074
215	537290	1950164
216	542474	1957406
217	547963	1965630
218	553251	1973012
219	558557	1980340
220	563920	1987757
221	569100	1994414
222	574281	2000973
223	579762	2008462
224	585063	2015219
225	590321	2021722
226	595648	2028353
227	600572	2033517
228	605264	2037811
229	609841	2041644
230	614423	2045420
231	619264	2049978
232	623861	2053654
233	628262	2056621
234	632694	2059623
235	636918	2061890
236	641292	2064581
237	645628	2067097
238	649926	2069432
239	654327	2072037
240	658860	2074999
241	663202	2077304
242	667457	2079280
243	671618	2080915
244	675733	2082361
245	679987	2084190
246	684207	2085862
247	688295	2087089
248	692655	2089094
249	697035	2091106
250	701230	2092517
251	705425	2093881
252	709579	2095083
253	713876	2096660
254	718112	2098014
255	722273	2099107
256	726661	2100814
257	731152	2102771
258	735370	2103896
259	739539	2104842
260	743748	2105863
261	747986	2106923
262	752268	2108069
263	756455	2108905
264	760542	2109427
265	764587	2109801
266	768626	2110124
267	772524	2110030
268	776293	2109556
269	779973	2108818
270	783761	2108348
271	787706	2108274
272	791558	2107922
273	795264	2107161
274	799030	2106536
275	802796	2105885
276	806643	2105425
277	810325	2104513
278	814141	2103928
279	817809	2102939
280	821547	2102109
281	825320	2101347
282	829077	2100524
283	832837	2099688
284	836525	2098652
285	840357	2097954
286	844171	2097193
287	848068	2096613
288	851873	2095785
289	855744	2095098
290	859475	2094047
291	863175	2092904
292	866913	2091836
293	870632	2090702
294	874301	2089432
295	877986	2088184
296	881808	2087243
297	885737	2086536
298	889530	2085487
299	893322	2084418
300	897128	2083363
301	900938	2082301
302	904728	2081174
303	908697	2080438
304	912589	2079506
305	916559	2078733
306	917354	2070769
307	917929	2062361
308	918549	2054103
309	919256	2046087
310	919977	2038149
311	920730	2030329
312	921398	2022367
313	922050	2014416
314	922621	2006336
315	923226	1998377
316	923786	1990365
317	924460	1982648
318	925230	1975178
319	925842	1967415
320	926500	1959793
321	927100	1952094
322	927761	1944564
323	928429	1937093
324	929026	1929516
325	929626	1921988
326	930211	1914472
327	930814	1907033
328	932814	1902486
329	936541	1901462
330	940411	1900711
331	944141	1899658
332	947852	1898550
333	951604	1897510
334	955412	1896566
335	959201	1895564
336	962814	1894201
337	966473	1892915
338	970299	1891941
339	973976	1890660
340	977655	1889369
341	981344	1888084
342	985010	1886740
343	988612	1885260
344	992398	1884119
345	996101	1882803
346	999832	1881528
347	1003527	1880172
348	1007092	1878560
349	1010638	1876899
350	1014356	1875548
351	1018043	1874125
352	1021731	1872692
353	1025531	1871450
354	1029317	1870168
355	1032994	1868675
356	1036780	1867366
357	1040512	1865947
358	1044331	1864670
359	1047975	1863068
360	1051606	1861431
361	1055330	1859947
362	1058964	1858293
363	1062739	1856874
364	1066406	1855255
365	1070109	1853686
366	1073759	1852016
367	1077345	1850223
368	1080969	1848487
369	1084592	1846737
370	1088558	1845562
371	1092202	1843825
372	1095978	1842301
373	1099672	1840628
374	1103474	1839124
375	1107094	1837305
376	1110727	1835499
377	1114288	1833563
378	1117944	1831777
379	1121713	1830164
380	1125424	1828445
381	1129280	1826950
382	1132982	1825196
383	1136617	1823323
384	1140446	1821751
385	1144442	1820433
386	1145084	1813790
387	1145690	1807120
388	1146358	1800577
389	1146978	1793992
390	1147521	1787315
391	1148102	1780730
392	1148744	1774269
393	1149409	1767873
394	1150101	1761547
395	1150824	1755298
396	1151441	1748914
397	1152017	1742498
398	1152702	1736275
399	1153346	1730019
400	1153951	1723732
401	1154591	1717526
402	1155195	1711295
403	1155790	1705077
404	1156405	1698916
405	1157041	1692814
406	1157642	1686688
407	1158204	1680531
408	1158865	1674546
409	1159467	1668502
410	1160059	1662469
411	1160651	1656464
412	1161287	1650547
413	1161883	1644598
414	1162457	1638644
415	1163095	1632807
416	1163699	1626947
417	1164272	1621068
418	1164866	1615244
419	1165503	1609505
420	1166052	1603668
421	1166625	1597890
422	1167255	1592213
423	1167842	1586503
424	1168454	1580850
425	1169027	1575168
426	1169606	1569519
427	1170189	1563898
428	1170817	1558360
429	1171366	1552741
430	1171901	1547128
431	1172497	1541617
432	1175621	1539439
433	1179272	1537945
434	1183021	1536567
435	1186638	1535009
436	1190353	1533567
437	1193997	1532023
438	1197657	1530491
439	1201440	1529105
440	1205258	1527753
441	1209078	1526392
442	1212697	1524769
443	1216321	1523141
444	1220011	1521586
445	1223950	1520333
446	1227578	1518682
447	1231219	1517038
448	1235057	1515626
449	1238770	1514052
450	1242456	1512436
451	1246124	1510788
452	1249748	1509078
453	1253368	1507354
454	1257176	1505848
455	1260796	1504107
456	1264478	1502432
457	1268096	1500673
458	1271879	1499099
459	1275540	1497374
460	1279233	1495676
461	1282955	1494004
462	1286645	1492286
463	1290348	1490574
464	1293915	1488698
465	1297551	1486893
466	1301303	1485213
467	1304943	1483397
468	1308585	1481574
469	1312176	1479688
470	1315974	1478026
471	1319725	1476302
472	1323277	1474349
473	1326863	1472426
474	1330892	1470985
475	1334512	1469084
476	1338131	1467175
477	1341724	1465230
478	1345347	1463310
479	1349054	1461475
480	1352820	1459696
481	1356416	1457726
482	1360162	1455909
483	1363904	1454080
484	1367649	1452246
485	1371422	1450434
486	1375162	1448579
487	1378939	1446755
488	1382767	1444977
489	1386504	1443096
490	1390470	1441445
491	1394105	1439442
492	1397751	1437444
493	1401470	1435513
494	1405123	1433509
495	1408949	1431674
496	1412960	1430018
497	1416742	1428121
498	1420451	1426144
499	1424169	1424169
500	1427891	1422190
501	1431664	1420256
502	1435449	1418326
503	1439078	1416236
504	1442859	1414288
505	1446731	1412421
506	1450546	1410491
507	1454417	1408609
508	1458205	1406637
509	1461927	1404597
510	1465726	1402622
511	1469391	1400513
512	1473166	1398503
513	1476805	1396356
514	1480479	1394237
515	1484336	1392284
516	1487170	1389368
517	1487825	1384424
518	1488502	1379517
519	1489198	1374644
520	1489867	1369762
521	1490555	1364914
522	1491222	1360063
523	1491929	1355264
524	1492696	1350535
525	1493437	1345797
526	1494118	1341020
527	1494808	1336267
528	1495435	1331474
529	1496040	1326677
530	1496654	1321903
531	1497208	1317093
532	1497834	1312361
533	1498468	1307652
534	1500719	1304363
535	1504456	1302365
536	1508153	1300326
537	1512083	1298481
538	1515768	1296417
539	1519391	1294296
540	1523153	1292287
541	1526978	1290324
542	1530698	1288267
543	1534357	1286152
544	1538071	1284078
545	1541710	1281935
546	1545401	1279829
547	1549075	1277704
548	1552744	1275570
549	1556390	1273410
550	1560027	1271238
551	1563670	1269065
552	1567409	1266965
553	1571222	1264919
554	1574923	1262776
555	1578673	1260667
556	1582295	1258450
557	1585929	1256238
558	1589457	1253936
559	1593164	1251772
560	1597020	1249718
561	1600753	1247562
562	1604349	1245294
563	1608097	1243139
564	1611969	1241074
565	1615631	1238840
566	1619301	1236609
567	1622974	1234375
568	1626628	1232121
569	1630603	1230104
570	1634477	1228004
571	1638118	1225725
572	1641745	1223430
573	1645430	1221172
574	1649158	1218943
575	1652878	1216702
576	1656481	1214370
577	1660127	1212065
578	1663743	1209733
579	1667424	1207445
580	1671101	1205149
581	1674726	1202810
582	1678376	1200485
583	1682284	1198339
584	1685927	1195999
585	1689580	1193662
586	1693254	1191336
587	1697010	1189061
588	1700698	1186735
589	1704428	1184433
590	1708159	1182127
591	1711869	1179801
592	1715606	1177490
593	1719109	1175014
594	1722973	1172780
595	1726645	1170410
596	1730402	1168094
597	1734089	1165725
598	1737823	1163384
599	1741549	1161032
600	1745306	1158697
601	1749029	1156335
602	1753047	1154162
603	1756892	1151870
604	1760699	1149547
605	1764499	1147216
606	1768390	1144938
607	1772208	1142608
608	1775912	1140200
609	1779777	1137890
610	1783575	1135533
611	1787322	1133139
612	1791044	1130724
613	1794618	1128212
614	1798262	1125741
615	1802170	1123431
616	1805927	1121021
617	1809733	1118638
618	1813707	1116353
619	1817413	1113898
620	1821279	1111537
621	1824964	1109061
622	1828893	1106730
623	1832645	1104286
624	1836432	1101859
625	1840134	1099377
626	1843948	1096958
627	1847740	1094521
628	1851538	1092084
629	1855347	1089648
630	1859081	1087165
631	1862815	1084677
632	1866457	1082132
633	1870174	1079627
634	1874038	1077203
635	1877698	1074657
636	1881368	1072114
637	1885173	1069643
638	1889006	1067185
639	1892977	1064799
640	1895225	1061444
641	1895803	1057161
642	1896472	1052940
643	1897079	1048696
644	1897749	1044497
645	1898362	1040279
646	1898972	1036070
647	1899691	1031931
648	1900291	1027738
649	1900954	1023591
650	1901582	1019435
651	1902179	1015273
652	1902870	1011173
653	1903532	1007067
654	1904156	1002952
655	1904817	998867
656	1905458	994782
657	1906074	990695
658	1906725	986636
659	1907419	982610
660	1907939	978504
661	1908577	974470
662	1909222	970449
663	1909836	966423
664	1910441	962402
665	1911026	958382
666	1911543	954338
667	1912090	950320
668	1912655	946321
669	1913255	942349
670	1913894	938407
671	1914508	934462
672	1915169	930550
673	1915771	926619
674	1916431	922726
675	1916993	918795
676	1917596	914894
677	1918155	910982
678	1918796	907118
679	1919357	903226
680	1919916	899344
681	1920495	895480
682	1923172	892599
683	1926876	890194
684	1930496	887746
685	1934494	885468
686	1938170	883038
687	1941912	880634
688	1945622	878212
689	1949662	875935
690	1953372	873505
691	1957082	871071
692	1961278	868849
693	1964987	866406
694	1968563	863902
695	1972241	861438
696	1975896	858962
697	1979518	856468
698	1983251	854018
699	1986908	851532
700	1990732	849114
701	1994562	846694
702	1998092	844144
703	2001758	841648
704	2005341	839114
705	2009083	836643
706	2012722	834126
707	2016414	831628
708	2020136	829139
709	2023724	826591
710	2027279	824027
711	2030896	821486
712	2034590	818972
713	2038401	816502
714	2042020	813952
715	2045577	811374
716	2049212	808824
717	2052935	806306
718	2056553	803743
719	2060221	801197
720	2063940	798667
721	2067548	796091
722	2071205	793532
723	2074968	791010
724	2078619	788441
725	2082428	785930
726	2086276	783429
727	2090130	780927
728	2093934	778403
729	2097884	775930
730	2101547	773346
731	2105400	770829
732	2109366	768350
733	2113294	765853
734	2117252	763363
735	2121105	760831
736	2124835	758251
737	2128830	755763
738	2132583	753185
739	2136418	750633
740	2140209	748062
741	2144037	745500
742	2147804	742914
743	2151523	740309
744	2155607	737825
745	2157069	734444
746	2157650	730770
747	2158222	727101
748	2158856	723462
749	2159466	719822
750	2160113	716202
751	2160753	712588
752	2161404	708986
753	2162026	705382
754	2162676	701795
755	2163297	698207
756	2163858	694607
757	2164447	691024
758	2165010	687440
759	2165612	683877
760	2166205	680319
761	2166769	676759
762	2167370	673219
763	2167985	669691
764	2168594	666169
765	2169177	662646
766	2169773	659135
767	2170380	655635
768	2170969	652137
769	2171613	648663
770	2172190	645177
771	2172775	641700
772	2173334	638223
773	2173928	634764
774	2174534	631316
775	2175170	627884
776	2175761	624446
777	2176328	621009
778	2176909	617582
779	2177525	614173
780	2178115	610764
781	2178752	607375
782	2179351	603983
783	2179915	600589
784	2180515	597211
785	2181151	593850
786	2181739	590483
787	2182314	587120
788	2182908	583769
789	2183497	580423
790	2184048	577074
791	2184640	573743
792	2185229	570419
793	2185781	567092
794	2186391	563786
795	2187023	560493
796	2187609	557195
797	2188153	553893
798	2188772	550617
799	2189410	547352
800	2190001	544082
801	2190585	540817
802	2191266	537583
803	2192019	534372
804	2192671	531144
805	2193324	527921
806	2193981	524706
807	2194603	521490
808	2195246	518284
809	2195935	515096
810	2196646	511918
811	2197371	508750
812	2198024	505572
813	2198694	502404
814	2199374	499244
815	2200065	496093
816	2200752	492947
817	2201453	489809
818	2202169	486682
819	2202858	483554
820	2203537	480430
821	2204267	477323
822	2205008	474224
823	2205736	471128
824	2206455	468036
825	2207212	464957
826	2207946	461879
827	2208634	458798
828	2209303	455718
829	2209988	452648
830	2210693	449587
831	2211353	446523
832	2212042	443470
833	2212749	440427
834	2213441	437386
835	2214150	434354
836	2214891	431334
837	2215667	428327
838	2216364	425309
839	2217045	422294
840	2217739	419287
841	2218400	416279
842	2219156	413294
843	2219897	410312
844	2220592	407327
845	2221260	404342
846	2221947	401367
847	2222619	398394
848	2223360	395438
849	2223907	392454
850	2224454	389475
851	2225005	386503
852	2225622	383548
853	2226169	380586
854	2226514	377595
855	2226925	374623
856	2227336	371655
857	2227710	368688
858	2228112	365732
859	2228495	362778
860	2228864	359828
861	2229269	356890
862	2229635	353951
863	2229913	351004
864	2230170	348061
865	2230460	345128
866	2230681	342192
867	2230873	339257
868	2231022	336322
869	2231171	333393
870	2231317	330470
871	2231462	327554
872	2231608	324644
873	2231764	321741
874	2231917	318845
875	2232059	315953
876	2232198	313067
877	2232337	310188
878	2232475	307314
879	2232608	304446
880	2232745	301585
881	2232883	298730
882	2233028	295882
883	2233176	293041
884	2233320	290205
885	2233461	287375
886	2233598	284550
887	2233748	281734
888	2233891	278922
889	2234053	276118
890	2234219	273322
891	2234361	270528
892	2234500	267739
893	2234641	264957
894	2234791	262182
895	2234950	259413
896	2235092	256649
897	2235232	253890
898	2235377	251138
899	2235520	248391
900	2235663	245650
901	2235799	242913
902	2235937	240183
903	2236070	237458
904	2236210	234740
905	2236349	232027
906	2236487	229320
907	2236624	226618
908	2236762	223922
909	2236902	221232
910	2237038	218547
911	2237174	215867
912	2237313	213194
913	2237451	210526
914	2237587	207863
915	2237723	205206
916	2237865	202554
917	2238001	199908
918	2238137	197267
919	2238277	194632
920	2238418	192003
921	2238553	189378
922	2238686	186759
923	2238822	184145
924	2238962	181537
925	2239099	178934
926	2239239	176337
927	2239382	173745
