iter	MultiClass
0	1.070866262
1	1.045655422
2	1.022483548
3	1.001245993
4	0.9818026028
5	0.9635873774
6	0.9464674567
7	0.9302325981
8	0.915264162
9	0.9010803832
10	0.8872184637
11	0.8746145824
12	0.8626174297
13	0.8514514545
14	0.8407468049
15	0.8304270975
16	0.8207293088
17	0.810841397
18	0.8019294118
19	0.7931421405
20	0.7836789532
21	0.7754027567
22	0.767409253
23	0.759268519
24	0.7508746748
25	0.7427440165
26	0.7351192152
27	0.7284101537
28	0.7213069043
29	0.7139671096
30	0.7067615458
31	0.700441704
32	0.6937982204
33	0.688264138
34	0.6823901948
35	0.6760957291
36	0.6700026148
37	0.6649022507
38	0.6594602567
39	0.6542233186
40	0.6496957432
41	0.6443472099
42	0.6391517963
43	0.6346053987
44	0.6292405773
45	0.6236342311
46	0.6188432712
47	0.613570711
48	0.6083990013
49	0.6043617309
50	0.5989338718
51	0.5940123745
52	0.5892519725
53	0.5847252085
54	0.5802220647
55	0.5749643224
56	0.5715534524
57	0.5665919159
58	0.5621946497
59	0.5566528999
60	0.551718091
61	0.5477500469
62	0.5434509415
63	0.5389508449
64	0.5357967766
65	0.5322210653
66	0.5290768455
67	0.5258231677
68	0.5221470592
69	0.5178464854
70	0.514725212
71	0.5099224508
72	0.5068749433
73	0.5034971394
74	0.5001214187
75	0.4977624965
76	0.4939031458
77	0.4898417832
78	0.4873881343
79	0.4844039439
80	0.4815312486
81	0.4779512443
82	0.4753166244
83	0.4723962702
84	0.4699210938
85	0.4677604185
86	0.4643888928
87	0.4614721253
88	0.458377945
89	0.4556200597
90	0.4524605521
91	0.4502277285
92	0.4476389912
93	0.4449086743
94	0.4419014645
95	0.4396683677
96	0.4365696309
97	0.4338628086
98	0.4306012924
99	0.4281390923
100	0.4263129744
101	0.4248413621
102	0.422846338
103	0.4200812777
104	0.4180133023
105	0.4161642475
106	0.4141342658
107	0.4114349153
108	0.4090413077
109	0.4060915573
110	0.4026021904
111	0.400363824
112	0.3983145277
113	0.3962814497
114	0.3936216796
115	0.3912572945
116	0.3892377219
117	0.3874295854
118	0.3846416561
119	0.3824404826
120	0.3799087239
121	0.3785103073
122	0.3768185677
123	0.3754295571
124	0.3727940329
125	0.3713097539
126	0.3696379093
127	0.3677240329
128	0.3664338728
129	0.3648713204
130	0.3635195282
131	0.361527421
132	0.3600210187
133	0.3572749186
134	0.3550177274
135	0.3535512341
136	0.3514159592
137	0.3495534782
138	0.348008191
139	0.3461468268
140	0.3445017119
141	0.3427737373
142	0.3412020696
143	0.3398044337
144	0.3381972106
145	0.3365761874
146	0.3347307281
147	0.333054688
148	0.3311920063
149	0.3295404998
150	0.328301305
151	0.327014474
152	0.3246814775
153	0.3228360639
154	0.3217799154
155	0.3193520761
156	0.317924955
