iter	Passed	Remaining
0	11	10095
1	23	10375
2	32	9458
3	40	8757
4	47	8221
5	54	7816
6	61	7554
7	68	7310
8	75	7198
9	82	7073
10	90	7037
11	98	7012
12	105	6961
13	113	6925
14	120	6871
15	128	6832
16	136	6834
17	146	6903
18	155	6937
19	163	6931
20	172	6940
21	180	6922
22	188	6916
23	196	6903
24	204	6887
25	212	6860
26	219	6841
27	228	6841
28	236	6826
29	243	6800
30	250	6768
31	258	6745
32	265	6704
33	273	6696
34	280	6662
35	288	6649
36	296	6641
37	303	6631
38	311	6607
39	318	6586
40	326	6572
41	333	6551
42	341	6544
43	349	6530
44	358	6542
45	365	6523
46	372	6505
47	379	6477
48	388	6480
49	397	6491
50	407	6523
51	416	6531
52	425	6533
53	433	6519
54	440	6508
55	449	6504
56	457	6501
57	465	6497
58	473	6491
59	482	6484
60	490	6483
61	498	6478
62	507	6472
63	515	6469
64	523	6461
65	531	6450
66	539	6444
67	547	6437
68	556	6437
69	565	6442
70	573	6432
71	582	6426
72	590	6424
73	600	6435
74	609	6431
75	618	6433
76	626	6427
77	635	6428
78	643	6421
79	652	6423
80	661	6414
81	669	6412
82	677	6402
83	687	6403
84	695	6395
85	704	6394
86	713	6392
87	721	6387
88	729	6381
89	738	6371
90	746	6365
91	754	6359
92	763	6353
93	771	6340
94	778	6325
95	785	6310
96	793	6300
97	801	6292
98	809	6279
99	816	6266
100	824	6253
101	832	6243
102	839	6228
103	847	6219
104	854	6203
105	862	6195
106	870	6183
107	878	6176
108	886	6164
109	894	6158
110	904	6157
111	913	6157
112	922	6155
113	930	6145
114	938	6133
115	945	6124
116	954	6116
117	962	6110
118	970	6100
119	979	6095
120	987	6088
121	997	6090
122	1005	6081
123	1013	6075
124	1022	6067
125	1031	6065
126	1039	6055
127	1047	6048
128	1055	6038
129	1065	6037
130	1074	6035
131	1083	6033
132	1093	6035
133	1103	6035
134	1111	6024
135	1119	6015
136	1126	6002
137	1134	5991
138	1141	5978
139	1149	5967
140	1156	5953
141	1162	5937
142	1170	5927
143	1177	5913
144	1185	5901
145	1192	5890
146	1200	5877
147	1207	5865
148	1214	5854
149	1222	5841
150	1230	5832
151	1238	5828
152	1247	5823
153	1256	5819
154	1264	5810
155	1272	5801
156	1280	5791
157	1288	5782
158	1296	5773
159	1303	5761
160	1311	5749
